H 1 1215.67A
H 1 1025.72A
H 1 972.537A
H 1 949.743A
H 1 937.804A
H 1 930.748A
H 1 926.226A
H 1 923.150A
H 1 920.963A
H 1 919.351A
H 1 918.129A
H 1 917.181A
H 1 916.429A
H 1 915.824A
H 1 915.329A
H 1 914.919A
H 1 914.576A
H 1 914.286A
H 1 914.039A
H 1 913.826A
H 1 913.641A
H 1 913.480A
H 1 913.339A
H 1 913.215A
H 1 6564.62A
H 1 4862.69A
H 1 4341.68A
H 1 4102.89A
H 1 3971.19A
H 1 3890.15A
H 1 3836.47A
H 1 3798.97A
H 1 3771.70A
H 1 3751.21A
H 1 3735.43A
H 1 3722.99A
H 1 3713.02A
H 1 3704.90A
H 1 3698.20A
H 1 3692.60A
H 1 3687.88A
H 1 3683.85A
H 1 3680.40A
H 1 3677.41A
H 1 3674.80A
H 1 3672.52A
H 1 3670.51A
H 1 1.87561m
H 1 1.28215m
H 1 1.09410m
H 1 1.00521m
H 1 9548.54A
H 1 9231.50A
H 1 9017.34A
H 1 8865.17A
H 1 8752.83A
H 1 8667.36A
H 1 8600.71A
H 1 8547.69A
H 1 8504.78A
H 1 8469.54A
H 1 8440.23A
H 1 8415.59A
H 1 8394.66A
H 1 8376.74A
H 1 8361.26A
H 1 8347.80A
H 1 8336.03A
H 1 8325.67A
H 1 4.05224m
H 1 2.62585m
H 1 2.16611m
H 1 1.94507m
H 1 1.81790m
H 1 1.73667m
H 1 1.68110m
H 1 1.64116m
H 1 1.61136m
H 1 1.58848m
H 1 1.57048m
H 1 1.55606m
H 1 1.54430m
H 1 1.53459m
H 1 1.52646m
H 1 1.51959m
H 1 1.51373m
H 1 1.50868m
H 1 1.50430m
H 1 1.50049m
H 1 1.49713m
H 1 4.65374m
H 1 3.74053m
H 1 3.29697m
H 1 3.03918m
H 1 2.87297m
H 1 2.75825m
H 1 2.67511m
H 1 2.61263m
H 1 2.56431m
H 1 2.52607m
H 1 2.49523m
H 1 2.46997m
H 1 2.44898m
H 1 2.43134m
H 1 2.41637m
H 1 2.40353m
H 1 2.39245m
H 1 2.38280m
H 1 2.37436m
H 1 4.67247m
H 1 4.37642m
H 1 4.17076m
H 1 4.02083m
H 1 3.90751m
H 1 3.81942m
H 1 3.74936m
H 1 3.69260m
H 1 3.64589m
H 1 3.60694m
H 1 3.57407m
H 1 3.54607m
H 1 3.52199m
H 1 3.50113m
H 1 3.48293m
H 1 4.97084m
H 1 4.92366m
H 1 4.88298m
H 1 4.84765m
He 2 1640.43A
He 2 1215.13A
He 2 1084.94A
He 2 1025.27A
He 2 933.444A
He 2 930.337A
He 2 927.846A
He 2 4686.95A
He 2 3203.97A
He 2 1.01261m
He 1 1.08332m
He 1 3889.74A
He 1 3188.66A
He 1 2945.96A
He 1 2829.91A
He 1 2761.25A
He 1 2721.81A
He 1 2695.41A
He 1 2676.84A
He 1 2663.26A
He 1 2653.03A
He 1 2645.12A
He 1 2638.88A
He 1 2633.86A
He 1 2629.77A
He 1 2626.39A
He 1 2623.57A
He 1 2621.18A
He 1 2619.15A
He 1 2617.40A
He 1 2615.88A
He 1 2614.56A
He 1 2613.41A
He 1 2612.39A
He 1 2611.49A
He 1 2.05869m
He 1 5017.08A
He 1 3965.85A
He 1 3614.67A
He 1 3448.58A
He 1 3356.38A
He 1 3298.28A
He 1 3259.60A
He 1 3232.48A
He 1 3212.70A
He 1 3197.82A
He 1 3186.34A
He 1 3177.28A
He 1 3170.02A
He 1 3137.66A
He 1 7067.16A
He 1 5877.26A
He 1 4714.35A
He 1 4472.74A
He 1 4121.99A
He 1 4027.34A
He 1 3868.58A
He 1 3820.70A
He 1 3705.82A
He 1 3635.12A
He 1 3588.19A
He 1 3555.35A
He 1 3531.44A
He 1 3513.47A
He 1 3499.61A
He 1 3488.69A
He 1 3479.93A
He 1 3472.80A
He 1 3466.91A
He 1 3461.98A
He 1 3457.83A
He 1 3454.29A
He 1 3451.25A
He 1 3448.62A
He 1 3446.33A
He 1 3444.32A
He 1 3442.55A
He 1 3440.98A
He 1 7283.36A
He 1 6680.00A
He 1 5049.05A
He 1 4923.31A
He 1 4438.80A
He 1 4389.16A
He 1 4170.15A
He 1 4144.93A
He 1 4010.18A
He 1 3927.52A
He 1 3872.79A
He 1 3834.57A
He 1 3806.77A
He 1 3785.90A
He 1 3769.81A
He 1 3757.14A
He 1 3746.99A
He 1 3738.71A
He 1 3731.88A
He 1 3726.18A
He 1 3721.37A
He 1 3717.27A
He 1 3713.75A
He 1 3710.70A
He 1 3708.05A
He 1 3705.72A
He 1 3703.67A
He 1 3701.86A
He 1 4.29576m
He 1 1.25309m
He 1 9466.17A
He 1 8364.03A
He 1 7791.41A
He 1 7485.33A
He 1 7289.01A
He 1 1.50878m
He 1 1.10161m
He 1 9606.08A
He 1 2.11238m
He 1 1.70073m
He 1 1.28496m
He 1 1.19725m
He 1 1.06707m
He 1 1.03142m
He 1 9517.67A
He 1 9064.88A
He 1 8778.55A
He 1 8584.59A
He 1 8446.51A
He 1 8344.43A
He 1 8266.68A
He 1 8206.01A
He 1 8157.71A
He 1 8118.60A
He 1 8086.47A
He 1 8059.74A
He 1 8037.25A
He 1 8018.16A
He 1 7946.79A
He 1 1.95484m
He 1 1.86905m
He 1 1.29884m
He 1 1.27884m
He 1 1.09997m
He 1 1.09160m
He 1 1.00302m
He 1 9528.62A
He 1 9212.76A
He 1 8999.37A
He 1 8847.75A
He 1 8735.80A
He 1 8650.62A
He 1 8584.21A
He 1 8531.37A
He 1 8488.60A
He 1 8453.48A
He 1 8424.28A
He 1 8399.71A
He 1 8378.86A
He 1 8300.96A
He 1 1.87023m
He 1 1.85606m
He 1 1.27940m
He 1 1.09201m
He 1 1.00336m
He 1 9531.71A
He 1 9215.65A
He 1 9002.13A
He 1 8850.41A
He 1 8738.40A
He 1 8653.17A
